,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Area_Suburban,Area_Urban,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Male,Gender_Nonbinary,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes,PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
4847,48905,0,63,27506.01,10.45539,14,1,1,9.525184,92.48801999999999,820.0423101,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
9992,4261,1,18,35876.21,9.212992999999999,15,2,0,56.47233000000001,137.4392,5001.371216,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0
4621,10218,1,27,43148.68,10.52558,9,0,0,2.611838,124.9643,320.1072613,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0
5774,54601,4,41,35600.06,11.03469,17,0,0,58.78686999999999,139.983,5562.051941,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
9294,1796,4,20,146719.5,11.301210000000001,16,0,0,64.11559,255.1198,6511.608523,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0
1085,40019,0,75,20840.13,8.825929291,8,0,1,17.48396291,202.443347,1671.835787,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0
1073,2857,1,64,81748.07,13.77280014,5,1,0,16.64037206,142.468917,1996.643218,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
950,26736,1,25,113086.55,13.18785324,16,3,1,2.253077812,150.006987,534.5843758000001,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
9512,13475,3,68,41508.2,7.763803,14,1,0,68.20701,169.9378,5953.612372,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0
3773,39309,1,76,29614.14,14.908439999999999,6,0,0,4.745801,194.9663,1236.530575,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1
6474,136,0,82,56960.58,14.57952,16,0,0,60.6238,127.4738,5450.679529999999,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
6976,53866,1,84,71546.23,7.446688000000001,15,1,0,48.29423,194.9525,4697.742817,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1
5715,35087,0,71,36171.71,9.638183,18,2,0,54.78051,132.466,5151.21569,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0
9164,2912,3,81,19645.07,10.94239,12,2,0,69.62503000000001,104.9629,5934.090437,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0
4971,417,2,76,38599.07,7.178201,13,2,1,14.74826,232.62400000000002,2174.446655,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0
230,24438,1,35,52129.84,9.513085538,10,1,0,5.049303717,267.642733,1662.510936,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0
9924,6637,3,23,67050.85,7.764846,14,0,2,67.09737,220.1615,6335.700634000001,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0
4655,440,8,38,25707.64,11.08933,11,0,0,8.512387,179.9476,1292.6070650000001,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1
1094,282,0,83,9843.69,9.646498667000001,12,2,1,6.7912707139999995,139.951231,1103.633086,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
1729,1897,0,78,2488.36,7.446156322,15,2,0,6.0276480470000005,154.991856,1135.519834,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0
1556,839,3,75,13389.11,10.3868905,11,0,0,11.32593703,172.487091,1380.8933869999998,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0
9253,905,6,21,49241.33,10.30157,14,0,1,65.85661999999999,172.4705,6484.077095000001,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
8955,4739,9,21,18978.48,9.410557,10,0,0,51.53504,182.4653,4979.515394,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,1
1443,33,4,50,29216.14,9.047716037,9,0,1,7.840871292,182.47622900000002,1173.415489,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0
5439,630,1,59,113028.1,11.3049,10,1,1,52.79234,129.9915,5072.66967,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0
1234,1202,2,77,11113.69,12.834837400000001,14,0,1,9.417609509,172.51044199999998,976.910308,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0
9744,1420,1,85,2566.07,11.124239999999999,13,4,1,57.1358,119.9568,5277.7097109999995,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0
9373,2310,10,55,8936.79,8.106295,13,2,0,63.279230000000005,162.497,6211.784272999999,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0
460,3191,2,80,99482.26,12.94031641,12,2,0,9.461939857,252.62402999999998,1267.634616,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0
3118,25,1,43,44039.11,11.02812,14,1,2,11.00718,172.4579,1373.225547,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0
6742,73891,0,30,9444.74,11.44018,6,1,1,65.66391999999999,172.4871,5888.4149689999995,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1
3425,34056,2,23,24979.03,6.330446,14,1,0,5.685414,270.1604,1812.910095,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
9303,1375,2,54,32410.95,11.66727,10,0,0,60.36923,220.1323,5532.984193,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0
2319,10189,2,87,20648.53,5.099569,16,0,0,6.1376919999999995,139.9792,767.624909,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0
